mobile,Model,sim type,display size,resolution,processor type,processor core,internal storage,ram,camera,network type,battery
"Realme 2 Pro (Blue Ocean, 64 GB)  (6 GB RAM)",RMX1801,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE,Octa Core,64 GB,6 GB,16MP + 2MP,"3G, 4G VOLTE, 2G",3500 mAh
"Apple iPhone 7 (Rose Gold, 32 GB)",MN912HN/A,Single Sim,11.94 cm (4.7 inch),1334 x 750 Pixels,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,32 GB,12MP,"3G, 4G VOLTE, 2G"
"Redmi Note 5 Pro (Gold, 64 GB)  (4 GB RAM)",MZB6080IN / MZB6088IN,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Qualcomm Snapdragon 636,Octa Core,64 GB,4 GB,12MP + 5MP,"3G, 4G VOLTE, 4G",4000 mAh
"Honor 8C (Blue, 64 GB)  (4 GB RAM)",BKK-AL10,Dual Sim,15.9 cm (6.26 inch),720 x 1520 Pixels,Qualcomm Snapdragon 632,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 2G",4000 mAh
"Honor 8C (Black, 64 GB)  (4 GB RAM)",BKK-AL10,Dual Sim,15.9 cm (6.26 inch),720 x 1520 Pixels,Qualcomm Snapdragon 632,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 2G",4000 mAh
"iVooMi Z1 (Ocean Blue, 16 GB)  (2 GB RAM)",IV104,Dual Sim,14.4 cm (5.67 inch),1498 x 720 pixels,MTK6739W,Quad Core,16 GB,2 GB,13MP,"3G, 4G VOLTE, 4G, 2G",2800 mAh
"Realme X (Space Blue, 128 GB)  (4 GB RAM)",RMX1901,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE,Octa Core,128 GB,4 GB,48MP + 5MP,"4G, 3G, 2G",3765 mAh
"Realme X (Polar White, 128 GB)  (8 GB RAM)",RMX1901,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE,Octa Core,128 GB,8 GB,48MP + 5MP,"4G, 3G, 2G",3765 mAh
Lava A1  (Glossy Blue),Lava A1,Dual Sim,4.5 cm (1.77 inch),240x320 Pixels,24 MB,24 MB,0.3MP,2G,800 mAh
"POCO F1 by Xiaomi (Steel Blue, 256 GB)  (8 GB RAM)",MZB6650IN,Dual Sim,15.7 cm (6.18 inch),2160 x 1080 pixels,Qualcomm Snapdragon 845,Octa Core,256 GB,8 GB,12MP + 5MP,"3G, 4G VOLTE, 2G",4000 mAh
"Vivo V17Pro (Glacier Ice White, 128 GB)  (8 GB RAM)","Vivo 1909, PD1931F_EX",Dual Sim,16.36 cm (6.44 inch),2400 x 1080 Pixels,Qualcomm Snapdragon 675 AIE,Octa Core,128 GB,8 GB,"48MP + 13, 8, 2MP","4G, 3G, 2G",4100 mAh
"Samsung Galaxy A50 (Black, 64 GB)  (4 GB RAM)",SM-A505FZKDINS,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 pixels,Exynos 9610,Octa Core,64 GB,4 GB,25MP + 5MP + 8MP,"3G, 4G, 2G",4000 mAh
